item_id,Name,Diet,Course,Ingredients,Flavour,Cusine,Price
26,chilli paneer dry,Non - vegetarian,Starter,"cornflour, maida, ginger garlic paste, pepper powder, salt, paneer, oil, garlic, spring onion, onion, capsicum, chilli sauce, tomato sauce, vinegar, soya sauce, red chilli powder, salt","slightly hot, slightly bitter",Chinese,160
27,panner shashik,Vegetarian,Starter,"Paneer, capsicum, onion, tomato, coriander leaves, anardana powder, lemon juice, oil, pepper powder, cumin, garam masala, chaat masala, ginger, garlic, cornflour, onion, cabbage","slightly bitter, slightly hot",Chinese,175
28,chilli mushroom dry,Vegetarian,Starter,"maida, cornflour, chilli powder, pepper, ginger garlic paste, salt,mushroom, oil, garlic, ginger, spring onion, onion, capsicum, tomato sauce, chilli sauce, vinegar, soya sauce, pepper, sugar","slightly hot, slightly spicy ",Chinese,155
29,stuffed mushroom,Vegetarian,Starter,"mushroom, onion, chopped garlic, oil, pepper, dried basil, oregano, salt, cheese, spring onions","slightly bitter, slightly hot",Chinese,175
30,Ginger veggie stir fry,Vegetarian,Starter,"cornflour, garlic, ginger, oil, broccoli, peas, carrot, beans, soya sauce, onion, salt","veggie, slighlty hot",Chinese,135
31,veg. Chopseuy,Vegetarian,main course,"salt, oil, noodles, cornflour, garlic, spring onion, carrot, cabbage, onion, capsicum, tomato sauce, vinegar, soya sauce, schezwan sauce, pepper, sugar","hot, crispy, slightly spicy",Chinese,140
32,Gobi machurian gravy,Vegetarian,main course,"maida, cornflour, ginger garlic paste, chilli powder, salt, soya sauce, cauliflower, garlic, spring onion, chilli sauce, tomato sauce, pepper, vinegar  ","hot, slightly bitter",Chinese,125
33,chilli potatoes,Vegetarian,main course,"Potato, turmeric, chilli powder, salt, maida, cornflour, oil, garlic, ginger, spring onion, onion, capsicum, tomato sauce, vinegar, soya sauce, chill powder, pepper powder",spicy,Chinese,125
34,veg hakka noodles,Vegetarian,main course,"oil, salt, noodles, garlic, chill, ginger, spring onion, onion, capsicum , cabbage, carrot, beans, chilli sauce, soya sauce, tomato sauce, pepper powder",bitter,Chinese,111
35,shanghai stewed noodles,Vegetarian,main course,"noodles, vegetable stock, oil, onion, garlic, spring onion, mushroom, carrot, capsicum, pepper, cabbage, cornflour, chilli oil",spicy,Chinese,185
36,pan fried noodles,Vegetarian,main course,"egg noodles, mushroom,  vegetable oil, garlic, cornflour, spring onion, broccoli, capsicum, vegetabel broth, soya sauce ",spicy,Chinese,170
37,veg. Fried rice ,Vegetarian,main course,"basmatic rice, oil, salt, garlic, onion, spring onion, carrot, cabbage, peas, beans, capsicum, soya sauce, vinegar, pepper",spicy,Chinese,121
38,chicken fried rice,Non – vegetarian,main course,"Chicken, salt, oil, egg, onion, garlic, ginger, carrot, peas, basmatic rice, soya sauce, chilli sauce, vinegar, pepper",spicy,Chinese,151
39,chilli garlic rice,Vegetarian,main course,"basmatic rice, oil, chilli, garlic, spring onion, carrot, cabbage, capsicum, beans, chilli garlic sauce, salt",spicy,Chinese,121
40,Shahi paneer,Vegetarian,main course,"Cottage cheese, malai, garam masala, ginger, tomato","slightly sweet, slighlty spicy, creamy",North Indian,185
41,Aloo gobi,Vegetarian,Starter,"Cauliflower, potato, garam masala, turmeric, curry leaves","spicy, slightly hot",North Indian,155
42,Tandoori Fish Tikka,Non – vegetarian,Starter,"Chickpea flour, biryani masala powder, yogurt, fish fillets, green bell pepper","spicy, slightly hot",North Indian,140
43,Mushroom matar,Vegetarian,Starter," coconut milk, frozen green peas, mushrooms, garam masala, tomatoes","spicy, slightly tangy, creamy",North Indian,150
44,Mushroom do pyaza,Vegetarian,Starter,"Mushroom, malai, garam masala, ginger, capsicum","spicy, slighlty hot",North Indian,165
45,Malai kofta,Vegetarian,main course,"paneer, potatoes, cashew nuts, rasins, cornflour,  garam masala, tomatoes","slightly sweet, slighlty spicy, creamy",North Indian,205
46,Kadai paneer,Vegetarian,main course,"Cottage cheese, bell peppers, gravy, garam masala, cashew nuts","Slightly spicy, slighlty hot",North Indian,180
47,gobi masala ,Vegetarian,main course,"Cauliflower, potato, garam masala, turmeric, red chilli, cream , curd,  curry leaves","spicy, hot",North Indian,165
48,panner tikka masala,Vegetarian,main course,"Paneer, greek yogurt, tandoori masala, cream, bell pepper","Slighlty spicy, hot",North Indian,185
49,Palak paneer,Vegetarian,main course,"Cottage cheese, palak, cream, garam masala, butter","Slighlty bitter, creamy",North Indian,185
50,paneer butter masala,Vegetarian,main course,"Paneer, whipping cream, garam masala, cashew nuts, butter","slightly bitter, creamy, slightly sweet",North Indian,185
51,tandoori roti,Non – vegetarian,main course,"wheat flour, sugar, baking powder, baking soda, salt, curd","nutty, slightly hot",North Indian,30
52,butter roti,Non – vegetarian,main course,"wheat flour, butter, salt","Nutty, slightlybitter",North Indian,30
53,plain naan,Vegetarian,main course,"wheat flour, garlic, plain curd, baking soda, baking powder","nutty, soft",North Indian,40
54,butter naan,Non – vegetarian,main course,"maida, plain curd, milk, oil, sugar, salt, garlic, baking powder, baking soda","slightly sweet, slightly bitter",North Indian,60
55,roomali roti,Vegetarian,main course,"maida, wheat flour, salt, oil, milk","Slightly sweet, milky",North Indian,18
56,Pork Bharta,Non – vegetarian,main course,"Boiled pork, onions, chillies, ginger and garlic","Slightly spicy, slighlty hot",North Indian,50
57,Butter chicken,Non – vegetarian,main course,"Chicken, greek yogurt, cream, garam masala powder, cashew nuts, butter","sliglty sweet, slightly bitter, creamy",North Indian,40
58,steamed rice,Vegetarian,main course,Rice,bland,North Indian,90
59,soya dum briyani,Vegetarian,main course,"basmatic rice, soya chunks, biriyani masala, fried onions, coriander leaves, mint, oil, jeera,carrot, potato, capsicum, onion,  ghee,ginger garlic paste, turmeric, green chilli, curd, lemon juice, red chilli powder, green cardomom powder, bay leaf, cinnamon , cloves, ansie, mace","spicy, veggie",North Indian,150
60,hyderabad biriyani ,Non – vegetarian,main course,"basmatic rice, chicken, biriyani masala, fried onion, coriander leaves, mint, oil, ghee, saffron,ginger garlic paste, turmeric, green chilli, curd, lemon juice, red chilli powder, green cardomom powder, bay leaf, cinnamon , cloves, ansie, mace","spicy, meaty",North Indian,140
61,green salad,Vegetarian,Starter,"onion, green capsicum, salad greens, tomato, onion powder, garlic powder, black pepper, salt, salad dressing","bitter, slightly sour",North Indian,85
62,Gajar ka halwa,Vegetarian,dessert,"Carrots, milk, sugar, ghee, cashews, raisins",sweet,North Indian,52
63,Sohan halwa,Vegetarian,dessert,"Cornflour, ghee, dry fruits",sweet,North Indian,48
